Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2
131254.png,229599.0,70.0,39.0,692.0,0.9995254845281836,-1.0,-1.0,-1.0,-1.0,592.0,43.0,77.0,229688.0,0.8314606741573034,-1.0,-1.0,-1.0,-1.0,87.0,9.0,6.0,230298.0,0.8529411764705882,-1.0,-1.0,-1.0,-1.0
131255.png,229555.0,71.0,22.0,752.0,0.9995950323974082,-1.0,-1.0,-1.0,-1.0,663.0,23.0,62.0,229652.0,0.8863636363636364,-1.0,-1.0,-1.0,-1.0,88.0,0.0,10.0,230302.0,0.8979591836734694,-1.0,-1.0,-1.0,-1.0
131256.png,229623.0,58.0,46.0,673.0,0.9995472887383721,-1.0,-1.0,-1.0,-1.0,579.0,48.0,68.0,229705.0,0.8330935251798561,-1.0,-1.0,-1.0,-1.0,78.0,14.0,6.0,230302.0,0.7959183673469388,-1.0,-1.0,-1.0,-1.0
131275.png,229972.0,55.0,23.0,350.0,0.9996609432732014,-1.0,-1.0,-1.0,-1.0,307.0,56.0,44.0,229993.0,0.7542997542997543,-1.0,-1.0,-1.0,-1.0,10.0,0.0,44.0,230346.0,0.18518518518518517,-1.0,-1.0,-1.0,-1.0
131276.png,229574.0,41.0,34.0,751.0,0.999673414645829,-1.0,-1.0,-1.0,-1.0,591.0,33.0,68.0,229708.0,0.8540462427745664,-1.0,-1.0,-1.0,-1.0,132.0,29.0,1.0,230238.0,0.8148148148148148,-1.0,-1.0,-1.0,-1.0
131277.png,229879.0,45.0,19.0,457.0,0.9997216701530379,-1.0,-1.0,-1.0,-1.0,364.0,19.0,64.0,229953.0,0.814317673378076,-1.0,-1.0,-1.0,-1.0,67.0,26.0,7.0,230300.0,0.67,-1.0,-1.0,-1.0,-1.0
131278.png,229820.0,52.0,32.0,496.0,0.9996346301064792,-1.0,-1.0,-1.0,-1.0,403.0,31.0,70.0,229896.0,0.7996031746031746,-1.0,-1.0,-1.0,-1.0,73.0,21.0,2.0,230304.0,0.7604166666666666,-1.0,-1.0,-1.0,-1.0
131279.png,229875.0,56.0,44.0,425.0,0.9995651701271877,-1.0,-1.0,-1.0,-1.0,359.0,48.0,57.0,229936.0,0.7737068965517241,-1.0,-1.0,-1.0,-1.0,60.0,2.0,5.0,230333.0,0.8955223880597015,-1.0,-1.0,-1.0,-1.0
131280.png,229214.0,46.0,81.0,1059.0,0.9994462394425768,-1.0,-1.0,-1.0,-1.0,823.0,80.0,79.0,229418.0,0.8380855397148677,-1.0,-1.0,-1.0,-1.0,202.0,35.0,1.0,230162.0,0.8487394957983193,-1.0,-1.0,-1.0,-1.0
131383.png,230082.0,46.0,14.0,258.0,0.999739291394009,-1.0,-1.0,-1.0,-1.0,234.0,14.0,43.0,230109.0,0.8041237113402062,-1.0,-1.0,-1.0,-1.0,19.0,5.0,8.0,230368.0,0.59375,-1.0,-1.0,-1.0,-1.0
131384.png,229938.0,48.0,20.0,394.0,0.9997043555385512,-1.0,-1.0,-1.0,-1.0,353.0,28.0,41.0,229978.0,0.8364928909952607,-1.0,-1.0,-1.0,-1.0,32.0,1.0,16.0,230351.0,0.6530612244897959,-1.0,-1.0,-1.0,-1.0
131385.png,229960.0,40.0,33.0,367.0,0.9996826542278716,-1.0,-1.0,-1.0,-1.0,317.0,32.0,49.0,230002.0,0.7964824120603015,-1.0,-1.0,-1.0,-1.0,39.0,12.0,2.0,230347.0,0.7358490566037735,-1.0,-1.0,-1.0,-1.0
131386.png,230180.0,63.0,7.0,150.0,0.9996959826275787,-1.0,-1.0,-1.0,-1.0,145.0,12.0,53.0,230190.0,0.6904761904761905,-1.0,-1.0,-1.0,-1.0,0.0,0.0,15.0,230385.0,0.0,-1.0,-1.0,-1.0,-1.0
131387.png,230245.0,38.0,7.0,110.0,0.9998045942073038,-1.0,-1.0,-1.0,-1.0,102.0,11.0,34.0,230253.0,0.6938775510204082,-1.0,-1.0,-1.0,-1.0,4.0,0.0,8.0,230388.0,0.3333333333333333,-1.0,-1.0,-1.0,-1.0
131388.png,229921.0,64.0,24.0,391.0,0.9996174062754066,-1.0,-1.0,-1.0,-1.0,350.0,24.0,57.0,229969.0,0.8120649651972158,-1.0,-1.0,-1.0,-1.0,34.0,7.0,14.0,230345.0,0.6181818181818182,-1.0,-1.0,-1.0,-1.0
131407.png,229527.0,96.0,32.0,745.0,0.9994426422242059,-1.0,-1.0,-1.0,-1.0,625.0,48.0,82.0,229645.0,0.8278145695364238,-1.0,-1.0,-1.0,-1.0,103.0,1.0,31.0,230265.0,0.762962962962963,-1.0,-1.0,-1.0,-1.0
131408.png,229137.0,97.0,63.0,1103.0,0.9993022150311605,-1.0,-1.0,-1.0,-1.0,876.0,66.0,110.0,229348.0,0.8326996197718631,-1.0,-1.0,-1.0,-1.0,191.0,33.0,23.0,230153.0,0.7732793522267206,-1.0,-1.0,-1.0,-1.0
131409.png,229939.0,67.0,30.0,364.0,0.9995783268705768,-1.0,-1.0,-1.0,-1.0,298.0,29.0,78.0,229995.0,0.7358024691358025,-1.0,-1.0,-1.0,-1.0,51.0,16.0,4.0,230329.0,0.7183098591549296,-1.0,-1.0,-1.0,-1.0
131410.png,228863.0,100.0,50.0,1387.0,0.9993450153484736,-1.0,-1.0,-1.0,-1.0,1059.0,51.0,155.0,229135.0,0.8371541501976285,-1.0,-1.0,-1.0,-1.0,256.0,71.0,17.0,230056.0,0.7441860465116279,-1.0,-1.0,-1.0,-1.0
131411.png,230012.0,79.0,29.0,280.0,0.9995306796454024,-1.0,-1.0,-1.0,-1.0,208.0,29.0,111.0,230052.0,0.5977011494252874,-1.0,-1.0,-1.0,-1.0,34.0,38.0,6.0,230322.0,0.4358974358974359,-1.0,-1.0,-1.0,-1.0
131412.png,228869.0,130.0,28.0,1373.0,0.9993101250070953,-1.0,-1.0,-1.0,-1.0,1072.0,29.0,146.0,229153.0,0.859663191659984,-1.0,-1.0,-1.0,-1.0,260.0,40.0,25.0,230075.0,0.8,-1.0,-1.0,-1.0,-1.0
131431.png,228435.0,100.0,25.0,1840.0,0.9994530976548828,-1.0,-1.0,-1.0,-1.0,1485.0,25.0,115.0,228775.0,0.9138461538461539,-1.0,-1.0,-1.0,-1.0,329.0,26.0,11.0,230034.0,0.8989071038251366,-1.0,-1.0,-1.0,-1.0
131432.png,228495.0,103.0,39.0,1763.0,0.9993789281699812,-1.0,-1.0,-1.0,-1.0,1417.0,38.0,121.0,228824.0,0.8991116751269036,-1.0,-1.0,-1.0,-1.0,320.0,27.0,8.0,230045.0,0.9014084507042254,-1.0,-1.0,-1.0,-1.0
131433.png,229587.0,93.0,31.0,689.0,0.9994601912838306,-1.0,-1.0,-1.0,-1.0,585.0,31.0,99.0,229685.0,0.8181818181818182,-1.0,-1.0,-1.0,-1.0,83.0,21.0,15.0,230281.0,0.6974789915966386,-1.0,-1.0,-1.0,-1.0
131434.png,228906.0,79.0,30.0,1385.0,0.999524048643102,-1.0,-1.0,-1.0,-1.0,1139.0,28.0,96.0,229137.0,0.901821060965954,-1.0,-1.0,-1.0,-1.0,223.0,25.0,6.0,230146.0,0.8779527559055118,-1.0,-1.0,-1.0,-1.0
131435.png,227981.0,60.0,59.0,2300.0,0.9994782989916703,-1.0,-1.0,-1.0,-1.0,1828.0,58.0,87.0,228427.0,0.9265078560567663,-1.0,-1.0,-1.0,-1.0,440.0,33.0,5.0,229922.0,0.9205020920502092,-1.0,-1.0,-1.0,-1.0
131436.png,229744.0,79.0,46.0,531.0,0.9994562120164093,-1.0,-1.0,-1.0,-1.0,439.0,43.0,101.0,229817.0,0.7530017152658662,-1.0,-1.0,-1.0,-1.0,68.0,27.0,2.0,230303.0,0.7010309278350515,-1.0,-1.0,-1.0,-1.0
131455.png,228769.0,78.0,53.0,1500.0,0.9994276976845784,-1.0,-1.0,-1.0,-1.0,1153.0,53.0,95.0,229099.0,0.8862413528055342,-1.0,-1.0,-1.0,-1.0,315.0,32.0,15.0,230038.0,0.8701657458563536,-1.0,-1.0,-1.0,-1.0
131456.png,229143.0,60.0,74.0,1123.0,0.9994155541114024,-1.0,-1.0,-1.0,-1.0,870.0,74.0,81.0,229375.0,0.848780487804878,-1.0,-1.0,-1.0,-1.0,217.0,36.0,15.0,230132.0,0.8097014925373134,-1.0,-1.0,-1.0,-1.0
131457.png,229095.0,64.0,51.0,1190.0,0.9994982766894988,-1.0,-1.0,-1.0,-1.0,937.0,50.0,72.0,229341.0,0.8847969782813976,-1.0,-1.0,-1.0,-1.0,233.0,21.0,12.0,230134.0,0.8759398496240601,-1.0,-1.0,-1.0,-1.0
131458.png,229674.0,71.0,25.0,630.0,0.9995821908865387,-1.0,-1.0,-1.0,-1.0,505.0,24.0,81.0,229790.0,0.8278688524590164,-1.0,-1.0,-1.0,-1.0,112.0,14.0,3.0,230271.0,0.8682170542635659,-1.0,-1.0,-1.0,-1.0
131459.png,228776.0,64.0,66.0,1494.0,0.9994320812910102,-1.0,-1.0,-1.0,-1.0,1149.0,66.0,88.0,229097.0,0.8818112049117421,-1.0,-1.0,-1.0,-1.0,312.0,33.0,9.0,230046.0,0.8813559322033898,-1.0,-1.0,-1.0,-1.0
131460.png,229198.0,60.0,66.0,1076.0,0.9994505590343793,-1.0,-1.0,-1.0,-1.0,834.0,57.0,100.0,229409.0,0.8415741675075681,-1.0,-1.0,-1.0,-1.0,200.0,51.0,2.0,230147.0,0.7905138339920948,-1.0,-1.0,-1.0,-1.0
131563.png,229860.0,94.0,40.0,406.0,0.9994173761054637,-1.0,-1.0,-1.0,-1.0,375.0,52.0,66.0,229907.0,0.7606490872210954,-1.0,-1.0,-1.0,-1.0,19.0,0.0,40.0,230341.0,0.3220338983050847,-1.0,-1.0,-1.0,-1.0
131564.png,230256.0,144.0,0.0,0.0,0.999375,-1.0,-1.0,-1.0,-1.0,0.0,0.0,135.0,230265.0,0.0,-1.0,-1.0,-1.0,-1.0,0.0,0.0,9.0,230391.0,0.0,-1.0,-1.0,-1.0,-1.0
131565.png,230014.0,63.0,28.0,295.0,0.9996045283674844,-1.0,-1.0,-1.0,-1.0,274.0,29.0,49.0,230048.0,0.7784090909090909,-1.0,-1.0,-1.0,-1.0,14.0,6.0,21.0,230359.0,0.34146341463414637,-1.0,-1.0,-1.0,-1.0
131566.png,229939.0,92.0,31.0,338.0,0.9994653615112448,-1.0,-1.0,-1.0,-1.0,301.0,31.0,80.0,229988.0,0.7305825242718447,-1.0,-1.0,-1.0,-1.0,28.0,9.0,21.0,230342.0,0.4827586206896552,-1.0,-1.0,-1.0,-1.0
131567.png,230263.0,71.0,7.0,59.0,0.9996613716186002,-1.0,-1.0,-1.0,-1.0,59.0,7.0,63.0,230271.0,0.4573643410852713,-1.0,-1.0,-1.0,-1.0,0.0,0.0,8.0,230392.0,0.0,-1.0,-1.0,-1.0,-1.0
131568.png,229862.0,94.0,36.0,408.0,0.9994347629482765,-1.0,-1.0,-1.0,-1.0,371.0,41.0,71.0,229917.0,0.7681159420289855,-1.0,-1.0,-1.0,-1.0,31.0,1.0,29.0,230339.0,0.5081967213114754,-1.0,-1.0,-1.0,-1.0
131587.png,226248.0,94.0,28.0,4030.0,0.9994610593276494,-1.0,-1.0,-1.0,-1.0,3068.0,88.0,118.0,227126.0,0.937080024434942,-1.0,-1.0,-1.0,-1.0,878.0,24.0,60.0,229438.0,0.9126819126819127,-1.0,-1.0,-1.0,-1.0
131588.png,227745.0,43.0,34.0,2578.0,0.9996620168377066,-1.0,-1.0,-1.0,-1.0,2044.0,37.0,147.0,228172.0,0.9174147217235189,-1.0,-1.0,-1.0,-1.0,425.0,106.0,5.0,229864.0,0.792910447761194,-1.0,-1.0,-1.0,-1.0
131589.png,227314.0,107.0,12.0,2967.0,0.9994767689825136,-1.0,-1.0,-1.0,-1.0,2280.0,14.0,201.0,227905.0,0.9138276553106213,-1.0,-1.0,-1.0,-1.0,590.0,95.0,3.0,229712.0,0.8575581395348837,-1.0,-1.0,-1.0,-1.0
131590.png,227468.0,45.0,17.0,2870.0,0.9997275084604228,-1.0,-1.0,-1.0,-1.0,2281.0,36.0,104.0,227979.0,0.9421726559273028,-1.0,-1.0,-1.0,-1.0,511.0,59.0,19.0,229811.0,0.8675721561969439,-1.0,-1.0,-1.0,-1.0
131591.png,229187.0,15.0,23.0,1175.0,0.9998342240157051,-1.0,-1.0,-1.0,-1.0,1024.0,33.0,27.0,229316.0,0.9446494464944649,-1.0,-1.0,-1.0,-1.0,125.0,16.0,14.0,230245.0,0.8064516129032258,-1.0,-1.0,-1.0,-1.0
131592.png,228601.0,31.0,17.0,1751.0,0.9997900712445714,-1.0,-1.0,-1.0,-1.0,1485.0,64.0,40.0,228811.0,0.934550031466331,-1.0,-1.0,-1.0,-1.0,209.0,10.0,48.0,230133.0,0.7827715355805244,-1.0,-1.0,-1.0,-1.0
131611.png,224824.0,99.0,44.0,5433.0,0.9993643512159561,-1.0,-1.0,-1.0,-1.0,4215.0,53.0,180.0,225952.0,0.9476169064748201,-1.0,-1.0,-1.0,-1.0,1128.0,81.0,9.0,229182.0,0.9261083743842364,-1.0,-1.0,-1.0,-1.0
131612.png,225738.0,67.0,45.0,4550.0,0.9995040956386982,-1.0,-1.0,-1.0,-1.0,3635.0,48.0,132.0,226585.0,0.9528178243774574,-1.0,-1.0,-1.0,-1.0,847.0,65.0,3.0,229485.0,0.9256830601092896,-1.0,-1.0,-1.0,-1.0
131613.png,228511.0,32.0,15.0,1842.0,0.9997943629188215,-1.0,-1.0,-1.0,-1.0,1611.0,17.0,64.0,228708.0,0.9521276595744681,-1.0,-1.0,-1.0,-1.0,194.0,35.0,5.0,230166.0,0.8290598290598291,-1.0,-1.0,-1.0,-1.0
131614.png,227127.0,24.0,21.0,3228.0,0.9998019122074904,-1.0,-1.0,-1.0,-1.0,2688.0,26.0,58.0,227628.0,0.9696969696969697,-1.0,-1.0,-1.0,-1.0,501.0,34.0,5.0,229860.0,0.9277777777777778,-1.0,-1.0,-1.0,-1.0
131615.png,228251.0,71.0,8.0,2070.0,0.9996540095475847,-1.0,-1.0,-1.0,-1.0,1800.0,12.0,86.0,228502.0,0.9483667017913593,-1.0,-1.0,-1.0,-1.0,246.0,20.0,9.0,230125.0,0.8945454545454545,-1.0,-1.0,-1.0,-1.0
131616.png,227834.0,58.0,14.0,2494.0,0.9996840802787114,-1.0,-1.0,-1.0,-1.0,2125.0,20.0,95.0,228160.0,0.9486607142857143,-1.0,-1.0,-1.0,-1.0,326.0,37.0,6.0,230031.0,0.8834688346883469,-1.0,-1.0,-1.0,-1.0
131635.png,225653.0,91.0,89.0,4567.0,0.999202950853064,-1.0,-1.0,-1.0,-1.0,3358.0,127.0,189.0,226726.0,0.9139902014153511,-1.0,-1.0,-1.0,-1.0,1073.0,98.0,38.0,229191.0,0.8875103391232424,-1.0,-1.0,-1.0,-1.0
131636.png,225415.0,83.0,219.0,4683.0,0.9986620414058311,-1.0,-1.0,-1.0,-1.0,3396.0,259.0,155.0,226590.0,0.8913385826771654,-1.0,-1.0,-1.0,-1.0,1175.0,72.0,40.0,229113.0,0.912975912975913,-1.0,-1.0,-1.0,-1.0
131637.png,227512.0,26.0,65.0,2797.0,0.9996001810169461,-1.0,-1.0,-1.0,-1.0,2204.0,96.0,106.0,227994.0,0.9160432252701579,-1.0,-1.0,-1.0,-1.0,482.0,80.0,31.0,229807.0,0.8128161888701517,-1.0,-1.0,-1.0,-1.0
131638.png,225395.0,85.0,108.0,4812.0,0.9991444580385481,-1.0,-1.0,-1.0,-1.0,3525.0,136.0,141.0,226598.0,0.9271436086270384,-1.0,-1.0,-1.0,-1.0,1203.0,56.0,28.0,229113.0,0.9347319347319347,-1.0,-1.0,-1.0,-1.0
131639.png,226399.0,107.0,82.0,3812.0,0.9991658869843063,-1.0,-1.0,-1.0,-1.0,2726.0,115.0,206.0,227353.0,0.8946504758779127,-1.0,-1.0,-1.0,-1.0,954.0,99.0,33.0,229314.0,0.8784530386740331,-1.0,-1.0,-1.0,-1.0
131640.png,227005.0,47.0,40.0,3308.0,0.9996168953551865,-1.0,-1.0,-1.0,-1.0,2430.0,85.0,128.0,227757.0,0.9194097616345063,-1.0,-1.0,-1.0,-1.0,752.0,81.0,45.0,229522.0,0.856492027334852,-1.0,-1.0,-1.0,-1.0
131743.png,228909.0,48.0,21.0,1422.0,0.9996986610067343,-1.0,-1.0,-1.0,-1.0,1238.0,22.0,66.0,229074.0,0.9336349924585219,-1.0,-1.0,-1.0,-1.0,157.0,26.0,9.0,230208.0,0.8177083333333334,-1.0,-1.0,-1.0,-1.0
131744.png,228971.0,88.0,21.0,1320.0,0.9995241836912869,-1.0,-1.0,-1.0,-1.0,1151.0,22.0,104.0,229123.0,0.9013312451057165,-1.0,-1.0,-1.0,-1.0,146.0,22.0,7.0,230225.0,0.8342857142857143,-1.0,-1.0,-1.0,-1.0
131745.png,229351.0,50.0,12.0,987.0,0.9997297450449626,-1.0,-1.0,-1.0,-1.0,874.0,12.0,59.0,229455.0,0.9248677248677248,-1.0,-1.0,-1.0,-1.0,98.0,15.0,6.0,230281.0,0.8235294117647058,-1.0,-1.0,-1.0,-1.0
