Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2,TP3,FP3,FN3,TN3,IOU3,TPw3,FPw3,FNw3,FWB3
085194.png,221846.0,63.0,113.0,8378.0,0.9992072857644738,-1.0,-1.0,-1.0,-1.0,6299.0,93.0,115.0,223893.0,0.9680344244659598,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1987.0,112.0,40.0,228261.0,0.9289387564282375,-1.0,-1.0,-1.0,-1.0
085195.png,216145.0,122.0,144.0,13989.0,0.9987708573039263,-1.0,-1.0,-1.0,-1.0,8979.0,124.0,104.0,221193.0,0.9752362333007494,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,4937.0,93.0,91.0,225279.0,0.9640695176723296,-1.0,-1.0,-1.0,-1.0
085196.png,224188.0,57.0,223.0,5932.0,0.9987526061621256,-1.0,-1.0,-1.0,-1.0,4970.0,113.0,82.0,225235.0,0.9622458857696031,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,852.0,220.0,85.0,229243.0,0.7363872082973206,-1.0,-1.0,-1.0,-1.0
085197.png,223719.0,64.0,103.0,6514.0,0.99925408466809,-1.0,-1.0,-1.0,-1.0,4827.0,98.0,90.0,225385.0,0.9625124626121635,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1605.0,87.0,56.0,228652.0,0.9181922196796338,-1.0,-1.0,-1.0,-1.0
085198.png,228371.0,40.0,27.0,1962.0,0.9997067037883365,-1.0,-1.0,-1.0,-1.0,976.0,21.0,26.0,229377.0,0.9540566959921799,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,986.0,6.0,14.0,229394.0,0.9801192842942346,-1.0,-1.0,-1.0,-1.0
085199.png,219197.0,59.0,104.0,11040.0,0.9992569292487236,-1.0,-1.0,-1.0,-1.0,8226.0,93.0,77.0,222004.0,0.9797522629823726,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2744.0,81.0,52.0,227523.0,0.9537712895377128,-1.0,-1.0,-1.0,-1.0
085200.png,206285.0,201.0,155.0,23759.0,0.9982772053948635,-1.0,-1.0,-1.0,-1.0,13515.0,153.0,79.0,216653.0,0.9831235906015858,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,10170.0,76.0,196.0,219958.0,0.9739513503160314,-1.0,-1.0,-1.0,-1.0
085456.png,227214.0,122.0,39.0,3025.0,0.9992919186366135,-1.0,-1.0,-1.0,-1.0,1651.0,34.0,156.0,228559.0,0.8967952199891364,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1284.0,95.0,56.0,228965.0,0.894773519163763,-1.0,-1.0,-1.0,-1.0
085457.png,220136.0,184.0,200.0,9880.0,0.9982586613459097,-1.0,-1.0,-1.0,-1.0,6581.0,174.0,182.0,223463.0,0.9486809860170102,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,3126.0,199.0,175.0,226900.0,0.8931428571428571,-1.0,-1.0,-1.0,-1.0
085458.png,222087.0,175.0,71.0,8067.0,0.9988935515645451,-1.0,-1.0,-1.0,-1.0,5699.0,86.0,132.0,224483.0,0.9631570052391415,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2260.0,93.0,151.0,227896.0,0.902555910543131,-1.0,-1.0,-1.0,-1.0
085459.png,228477.0,485.0,70.0,1368.0,0.9975767578329666,-1.0,-1.0,-1.0,-1.0,1053.0,61.0,82.0,229204.0,0.8804347826086957,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,257.0,67.0,461.0,229615.0,0.3273885350318471,-1.0,-1.0,-1.0,-1.0
085460.png,224578.0,70.0,109.0,5643.0,0.9992035843155052,-1.0,-1.0,-1.0,-1.0,3700.0,83.0,92.0,226525.0,0.9548387096774194,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1864.0,105.0,57.0,228374.0,0.9200394866732478,-1.0,-1.0,-1.0,-1.0
085461.png,227866.0,35.0,138.0,2361.0,0.9992413578379137,-1.0,-1.0,-1.0,-1.0,1783.0,72.0,52.0,228493.0,0.934976402726796,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,526.0,118.0,35.0,229721.0,0.7746686303387335,-1.0,-1.0,-1.0,-1.0
085462.png,224775.0,188.0,61.0,5376.0,0.9988934513651877,-1.0,-1.0,-1.0,-1.0,3238.0,46.0,251.0,226865.0,0.915983026874116,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2002.0,151.0,73.0,228174.0,0.89937106918239,-1.0,-1.0,-1.0,-1.0
085463.png,223663.0,212.0,85.0,6440.0,0.9986738703339882,-1.0,-1.0,-1.0,-1.0,4463.0,86.0,162.0,225689.0,0.9473572489917215,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1858.0,118.0,169.0,228255.0,0.8662004662004662,-1.0,-1.0,-1.0,-1.0
085464.png,223701.0,114.0,116.0,6469.0,0.9989728979015857,-1.0,-1.0,-1.0,-1.0,4110.0,76.0,131.0,226083.0,0.9520500347463516,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,2279.0,120.0,63.0,227938.0,0.9256701868399675,-1.0,-1.0,-1.0,-1.0
085465.png,227021.0,476.0,55.0,2848.0,0.9976664674448038,-1.0,-1.0,-1.0,-1.0,2519.0,73.0,74.0,227734.0,0.9448612153038259,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,277.0,34.0,454.0,229635.0,0.36209150326797385,-1.0,-1.0,-1.0,-1.0
085466.png,227352.0,123.0,41.0,2884.0,0.9992791715747464,-1.0,-1.0,-1.0,-1.0,1812.0,54.0,49.0,228485.0,0.9462140992167102,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1018.0,41.0,128.0,229213.0,0.8576242628475147,-1.0,-1.0,-1.0,-1.0
085467.png,223350.0,112.0,87.0,6851.0,0.9991098148504355,-1.0,-1.0,-1.0,-1.0,4868.0,141.0,100.0,225291.0,0.9528283421413193,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1864.0,65.0,131.0,228340.0,0.9048543689320389,-1.0,-1.0,-1.0,-1.0
085468.png,225223.0,132.0,96.0,4949.0,0.9989886937738134,-1.0,-1.0,-1.0,-1.0,3229.0,83.0,164.0,226924.0,0.9289413118527042,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0,1605.0,128.0,83.0,228584.0,0.8838105726872246,-1.0,-1.0,-1.0,-1.0
