Image,TP0,FP0,FN0,TN0,IOU0,TPw0,FPw0,FNw0,FWB0,TP1,FP1,FN1,TN1,IOU1,TPw1,FPw1,FNw1,FWB1,TP2,FP2,FN2,TN2,IOU2,TPw2,FPw2,FNw2,FWB2
033877.png,230064.0,31.0,4.0,301.0,0.99984789155972,-1.0,-1.0,-1.0,-1.0,301.0,4.0,31.0,230064.0,0.8958333333333334,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033878.png,229377.0,144.0,103.0,776.0,0.9989243284674076,-1.0,-1.0,-1.0,-1.0,180.0,111.0,133.0,229976.0,0.42452830188679247,-1.0,-1.0,-1.0,-1.0,541.0,47.0,66.0,229746.0,0.827217125382263,-1.0,-1.0,-1.0,-1.0
033879.png,229618.0,248.0,68.0,466.0,0.9986256925900476,-1.0,-1.0,-1.0,-1.0,466.0,68.0,248.0,229618.0,0.5959079283887468,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033880.png,230022.0,42.0,10.0,326.0,0.999773985761103,-1.0,-1.0,-1.0,-1.0,326.0,10.0,42.0,230022.0,0.8624338624338624,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033881.png,228986.0,88.0,96.0,1230.0,0.9991971025875988,-1.0,-1.0,-1.0,-1.0,1015.0,98.0,79.0,229208.0,0.8515100671140939,-1.0,-1.0,-1.0,-1.0,208.0,5.0,16.0,230171.0,0.9082969432314411,-1.0,-1.0,-1.0,-1.0
033882.png,229231.0,30.0,104.0,1035.0,0.99941577834456,-1.0,-1.0,-1.0,-1.0,64.0,73.0,63.0,230200.0,0.32,-1.0,-1.0,-1.0,-1.0,917.0,85.0,21.0,229377.0,0.8963831867057673,-1.0,-1.0,-1.0,-1.0
033883.png,229347.0,216.0,121.0,716.0,0.9985327667578063,-1.0,-1.0,-1.0,-1.0,480.0,104.0,218.0,229598.0,0.5985037406483791,-1.0,-1.0,-1.0,-1.0,211.0,42.0,23.0,230124.0,0.7644927536231884,-1.0,-1.0,-1.0,-1.0
033884.png,229936.0,277.0,17.0,170.0,0.9987230161143205,-1.0,-1.0,-1.0,-1.0,170.0,17.0,277.0,229936.0,0.36637931034482757,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
033885.png,229151.0,81.0,126.0,1042.0,0.9990974807942169,-1.0,-1.0,-1.0,-1.0,191.0,75.0,62.0,230072.0,0.5823170731707317,-1.0,-1.0,-1.0,-1.0,831.0,71.0,39.0,229459.0,0.8831030818278427,-1.0,-1.0,-1.0,-1.0
033886.png,229884.0,133.0,66.0,317.0,0.9991350947266856,-1.0,-1.0,-1.0,-1.0,317.0,66.0,133.0,229884.0,0.6143410852713178,-1.0,-1.0,-1.0,-1.0,0.0,0.0,0.0,230400.0,0.0,-1.0,-1.0,-1.0,-1.0
